series,keep,role,decision_reason,missing_gap_assessment,audit_note
Gold Futures (COMEX),True,target,Primary gold exposure; downstream models typically use its daily log return as the prediction target.,Holiday-like only,Missing values are limited to short 1-2 day market-calendar gaps.
U.S. Dollar Index,True,feature,Keep as the core broad dollar factor in the retained feature set.,Holiday-like only,Missing values are limited to short 1-2 day market-calendar gaps.
USD / JPY Exchange Rate,True,feature,Keep one FX series and prefer USD/JPY over EUR/USD to reduce redundancy with the dollar index.,Something more serious,"Contains multi-day historical gaps beyond holiday-like closures: 5 rows (2008-08-01 to 2008-08-07), 11 rows (2008-08-11 to 2008-08-25)."
S&P 500,True,feature,Keep one broad equity benchmark and prefer S&P 500 over NASDAQ Composite for a cleaner market factor.,Holiday-like only,Missing values are limited to short 1-2 day market-calendar gaps.
CBOE Volatility Index,True,feature,Keep as the main equity risk and sentiment proxy.,Holiday-like only,Missing values are limited to short 1-2 day market-calendar gaps.
ICE BofA MOVE Index,True,feature,Keep as the rates-volatility channel even though it has more missingness than the other retained series.,Something more serious,More missing values than the typical series (263 vs median 177) and a longest gap of 5 rows (2013-03-18 to 2013-03-22).
WTI Crude Oil Futures,True,feature,Keep the oil factor and prefer WTI over Brent because it starts earlier and avoids duplicate crude exposure.,Holiday-like only,Missing values are limited to short 1-2 day market-calendar gaps.
Silver Futures,True,feature,"Keep as a nearby precious-metals signal that is related to, but not a near-duplicate of, gold futures.",Holiday-like only,Missing values are limited to short 1-2 day market-calendar gaps.
Copper Futures,True,feature,Keep as an industrial commodity indicator for growth-sensitive demand.,Holiday-like only,Missing values are limited to short 1-2 day market-calendar gaps.
Brent Crude Oil Futures,False,drop_or_defer,"Drop because it starts late, adds missingness, and overlaps heavily with WTI crude oil.",Something more serious,Long leading gap before the series begins (410 rows). Also has an internal gap of 12 rows (2009-04-15 to 2009-04-30).
SPDR Gold Shares ETF,False,drop_or_defer,Drop because it is too close to gold futures and likely adds near-duplicate information.,Holiday-like only,Missing values are limited to short 1-2 day market-calendar gaps.
Euro / USD Exchange Rate,False,drop_or_defer,Drop to avoid carrying both DXY and a highly overlapping EUR/USD currency channel.,Something more serious,"Contains multi-day historical gaps beyond holiday-like closures: 5 rows (2008-08-01 to 2008-08-07), 11 rows (2008-08-11 to 2008-08-25)."
NASDAQ Composite,False,drop_or_defer,Drop to avoid redundancy with S&P 500 and keep the feature set smaller.,Holiday-like only,Missing values are limited to short 1-2 day market-calendar gaps.
US 10Y Treasury Yield,True,feature,"Keep as the primary real interest rate proxy, a direct theoretical driver of gold prices.",Holiday-like only,Missing values are limited to short 1-2 day market-calendar gaps.
US 3M Treasury Yield,True,feature,Keep to construct yield spread (10Y - 3M) as a recession indicator.,Holiday-like only,Missing values are limited to short 1-2 day market-calendar gaps.
US 30Y Treasury Yield,False,drop_or_defer,Drop to avoid redundancy with 10Y yield; 10Y is the standard gold benchmark.,Holiday-like only,Missing values are limited to short 1-2 day market-calendar gaps.
